Powered By, Romanian-American Foundation,https://www.rafonline.org/
Sponsors,ING,https://ing.ro/
Sponsors,Vodafone Foundation,https://fundatia-vodafone.ro/
Sponsors,Lidl,https://www.lidl.ro/
Sponsors,Cloudflight,https://www.catalysts.cc/en/cluj/
Sponsors,3Pillar Global,https://www.3pillarglobal.com
Sponsors,Evozon,https://www.evozon.com
Sponsors,Cegeka,https://www.cegeka.com/en/ro/
Sponsors,Macadamian,https://www.macadamian.com
Sponsors,Bosch,https://www.bosch.ro
Sponsors,Continental,https://www.continental.com/ro-ro
Sponsors,Good Bureau,https://www.goodbureau.ro/
Sponsors,RTS Consult,https://rtsconsult.ro/
Sponsors,UnifiedPost,https://www.unifiedpost.com
Sponsors,Amazon,http://amazon.com
Sponsors,Systematic,https://systematic.com/
Sponsors,Visma,https://www.visma.ro
In Kind,1Password,https://1password.com/
In Kind,AWS,https://aws.amazon.com/
In Kind,Sentry,https://sentry.io
In Kind,Vercel,https://vercel.com/
In Kind,Atlassian,https://www.atlassian.com/
In Kind,Canva,https://www.canva.com/
In Kind,Eisberg,https://www.eisberg-romania.ro/ro
In Kind,Factureaza.ro,https://factureaza.ro/
In Kind,GitHub,https://www.github.com/
In Kind,Google for Nonprofits,https://www.google.com/nonprofits/
In Kind,IQAds,https://www.iqads.ro/
In Kind,Microsoft Azure,https://azure.microsoft.com/
In Kind,Slack,https://slack.com/
In Kind,Planable,https://planable.io/
In Kind,SocialInsider,https://www.socialinsider.io/
Partners,Banat IT,https://banatit.ro/
Partners,CodeCamp,https://codecamp.ro/
Partners,DevPlant,https://devplant.ro/
Partners,Fab Lab Iasi,http://www.fablabiasi.ro/
Partners,Mater Library,https://materlibrary.ro/
Partners,Scoala Informala de IT,https://scoalainformala.ro/
Media Partners,Decat o Revista,https://www.decatorevista.ro/
Media Partners,Manager Express,https://www.managerexpress.ro/
Media Partners,PressOne,https://pressone.ro
Media Partners,National Geographic,https://www.nationalgeographic.com/
Media Partners,Radio Tananana,http://tananana.ro/
Media Partners,Romania Pozitiva,https://www.romaniapozitiva.ro/
