casajurnalistului,Casa Jurnalistului,https://casajurnalistului.ro/
codeforpoland,Code for Poland / Fundacja ePaństwo,https://codeforpoland.org/
colectivgtg,Asociația Colectiv GTG 3010,https://colectivgtg.com/
decatorevista,Decât o Revistă,https://www.decatorevista.ro/
democracycenter,CSD,https://www.democracycenter.ro/romana
expertforum,Expert Forum,https://www.expertforum.ro/
fiecarevot,Fiecare Vot,https://fiecarevot.ro/
funky,Funky Citizens,https://www.funky.ong/
jurio,Jurio,https://jurio.ro/
just,Ministerul Justiției,http://www.just.ro/
mkbt,Make Better,https://mkbt.ro/
observatorulelectoral,Observatorul Electoral,https://www.facebook.com/Observatorul-Electoral-307266686310878/
openup,Open Up / Code for South Africa,https://openup.org.za/
patriabank,Patria Bank,https://www.patriabank.ro/
prefecturabihor,Prefectura Bihor,https://bh.prefectura.mai.gov.ro/
punctart,Punctart,https://punctart.ro/
resursecivice,CRC,https://resursecivice.ro/
vaurma,Va Urma,https://vaurma.ro/
vice,Vice,https://www.vice.com/ro
younitedcultures,younited cultures,https://younitedcultures.eu/
